occurrenceyear,Neighbourhood,ObjectId
2000.0,Annex,1
2000.0,Bedford Park-Nortown,1
2000.0,Birchcliffe-Cliffside,2
2000.0,Cliffcrest,1
2000.0,Downsview-Roding-CFB,1
2000.0,Little Portugal,2
2000.0,Malvern,2
2000.0,Markland Wood,1
2000.0,Mount Olive-Silverstone-Jamestown,1
2000.0,Oakwood Village,1
2000.0,Pelmo Park-Humberlea,1
2000.0,Regent Park,2
2000.0,Rouge,1
2000.0,The Beaches,1
2000.0,Thorncliffe Park,1
2000.0,Waterfront Communities-The Island,1
2000.0,Weston,1
2000.0,Woodbine-Lumsden,2
2001.0,Dorset Park,1
2001.0,Islington-City Centre West,3
2001.0,Keelesdale-Eglinton West,1
2001.0,Niagara,1
2001.0,Rockcliffe-Smythe,1
2001.0,Rouge,1
2001.0,South Riverdale,1
2001.0,St.Andrew-Windfields,1
2001.0,Tam OShanter-Sullivan,1
2001.0,Taylor-Massey,2
2001.0,West Hill,3
2001.0,West Humber-Clairville,1
2001.0,Wexford/Maryvale,1
2001.0,Woburn,3
2002.0,Alderwood,1
2002.0,Danforth,1
2002.0,Dovercourt-Wallace Emerson-Junction,1
2002.0,Downsview-Roding-CFB,1
2002.0,East End-Danforth,1
2002.0,Edenbridge-Humber Valley,2
2002.0,Glenfield-Jane Heights,1
2002.0,Humewood-Cedarvale,1
2002.0,Lansing-Westgate,1
2002.0,Mount Olive-Silverstone-Jamestown,2
2002.0,Oakridge,1
2002.0,Rouge,1
2002.0,Weston,1
2002.0,Willowdale East,1
2003.0,Banbury-Don Mills,1
2003.0,Briar Hill-Belgravia,1
2003.0,Cliffcrest,1
2003.0,Eglinton East,1
2003.0,Flemingdon Park,1
2003.0,Lambton Baby Point,1
2003.0,North Riverdale,1
2003.0,North St.James Town,2
2003.0,Pleasant View,1
2003.0,Regent Park,2
2003.0,Rouge,1
2003.0,Scarborough Village,1
2003.0,Woodbine Corridor,1
2004.0,Agincourt North,1
2004.0,Bay Street Corridor,1
2004.0,Church-Yonge Corridor,1
2004.0,Clairlea-Birchmount,2
2004.0,Dovercourt-Wallace Emerson-Junction,1
2004.0,Ionview,2
2004.0,Islington-City Centre West,1
2004.0,Junction Area,1
2004.0,Leaside-Bennington,1
2004.0,Mount Olive-Silverstone-Jamestown,1
2004.0,Newtonbrook West,1
2004.0,North St.James Town,1
2004.0,Oakridge,2
2004.0,Rosedale-Moore Park,1
2004.0,Rouge,1
2004.0,Tam OShanter-Sullivan,1
2004.0,Trinity-Bellwoods,1
2004.0,Waterfront Communities-The Island,3
2004.0,West Hill,3
2005.0,Bedford Park-Nortown,2
2005.0,Beechborough-Greenbrook,1
2005.0,Blake-Jones,1
2005.0,Flemingdon Park,5
2005.0,Kingsview Village-The Westway,2
2005.0,Newtonbrook East,1
2005.0,Niagara,1
2005.0,Rouge,5
2005.0,Thorncliffe Park,2
2005.0,West Humber-Clairville,1
2005.0,Woburn,3
2006.0,Bay Street Corridor,1
2006.0,Beechborough-Greenbrook,1
2006.0,Clanton Park,1
2006.0,Dorset Park,1
2006.0,Eglinton East,1
2006.0,Glenfield-Jane Heights,1
2006.0,Playter Estates-Danforth,1
2006.0,Stonegate-Queensway,1
2006.0,Yonge-Eglinton,2
2006.0,York University Heights,1
2007.0,Church-Yonge Corridor,2
2007.0,Clanton Park,1
2007.0,Downsview-Roding-CFB,1
2007.0,Guildwood,2
2007.0,High Park-Swansea,1
2007.0,Lawrence Park North,1
2007.0,Long Branch,2
2007.0,North Riverdale,1
2007.0,Parkwoods-Donalda,2
2007.0,Rouge,2
2007.0,Scarborough Village,3
2007.0,South Parkdale,1
2007.0,Waterfront Communities-The Island,2
2007.0,West Humber-Clairville,1
2007.0,Wexford/Maryvale,1
2007.0,Woburn,3
2007.0,York University Heights,2
2008.0,Agincourt South-Malvern West,3
2008.0,Bay Street Corridor,1
2008.0,Bayview Village,1
2008.0,Brookhaven-Amesbury,1
2008.0,Caledonia-Fairbank,1
2008.0,Church-Yonge Corridor,1
2008.0,Clairlea-Birchmount,2
2008.0,Cliffcrest,2
2008.0,Dovercourt-Wallace Emerson-Junction,1
2008.0,Downsview-Roding-CFB,5
2008.0,East End-Danforth,1
2008.0,Eringate-Centennial-West Deane,2
2008.0,Glenfield-Jane Heights,1
2008.0,Hillcrest Village,1
2008.0,Lawrence Park North,1
